site,block,density_long,density,albedo,source,growout_yr,growout_loc,,,X,Y,genotype,genotype_batch
Cheyenne,1,low,lo,black,Fleishman_07,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,16,1,g47,47_Reno
Cheyenne,1,low,lo,black,JackieOtt1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,17,1,g54,54_Reno
Cheyenne,1,low,lo,black,Copeland01,2021,Logan,lo black Cheyenne,lo black Cheyenne 1,18,1,g38,38_Logan
Cheyenne,1,low,lo,black,Schupp04,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,19,1,g87,87_Reno
Cheyenne,1,low,lo,black,Symstad3,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,20,1,g91,91_Reno
Cheyenne,1,low,lo,black,Chambers01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,1,2,g29,29_Reno
Cheyenne,1,low,lo,black,Adler13,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,2,2,g14,14_Reno
Cheyenne,1,low,lo,black,Porensky17,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,3,2,g69,69_Reno
Cheyenne,1,low,lo,black,Pyke8,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,4,2,g73,73_Reno
Cheyenne,1,low,lo,black,Pyke21,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,5,2,g74,74_Reno
Cheyenne,1,low,lo,black,Chambers07,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,6,2,g35,35_Reno
Cheyenne,1,low,lo,black,Pyle009,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,7,2,g76,76_Reno
Cheyenne,1,low,lo,black,Shriver02,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,8,2,g102,102_Reno
Cheyenne,1,low,lo,black,Lee4,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,9,2,g64,64_Reno
Cheyenne,1,low,lo,black,Shriver01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,10,2,g101,101_Reno
Cheyenne,1,low,lo,black,Barnett01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,11,2,g19,19_Reno
Cheyenne,1,low,lo,black,Chambers07,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,12,2,g35,35_Reno
Cheyenne,1,low,lo,black,Adler09,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,13,2,g11,11_Reno
Cheyenne,1,low,lo,black,JackieOtt7,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,14,2,g58,58_Reno
Cheyenne,1,low,lo,black,Pyke21,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,15,2,g74,74_Reno
Cheyenne,1,low,lo,black,Leger 1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,16,2,g65,65_Reno
Cheyenne,1,low,lo,black,Schupp05,2021,Logan,lo black Cheyenne,lo black Cheyenne 1,17,2,g88,88_Logan
Cheyenne,1,low,lo,black,Porensky30,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,18,2,g71,71_Reno
Cheyenne,1,low,lo,black,Reed03,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,19,2,g84,84_Reno
Cheyenne,1,low,lo,black,Adler05,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,20,2,g9,9_Reno
Cheyenne,1,low,lo,black,Urza2,2021,Logan,lo black Cheyenne,lo black Cheyenne 1,1,3,g93,93_Logan
Cheyenne,1,low,lo,black,Symstad6,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,2,3,g25,25_Reno
Cheyenne,1,low,lo,black,JackieOtt6,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,3,3,g57,57_Reno
Cheyenne,1,low,lo,black,Chambers02,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,4,3,g30,30_Reno
Cheyenne,1,low,lo,black,Adler18,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,5,3,g18,18_Reno
Cheyenne,1,low,lo,black,Symstad4,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,6,3,g92,92_Reno
Cheyenne,1,low,lo,black,Chynoweth03,2021,Logan,lo black Cheyenne,lo black Cheyenne 1,7,3,g97,97_Logan
Cheyenne,1,low,lo,black,Symstad1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,8,3,g89,89_Reno
Cheyenne,1,low,lo,black,AAFC04,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,9,3,g1,1_Reno
Cheyenne,1,low,lo,black,Chynoweth08,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,10,3,g100,100_Reno
Cheyenne,1,low,lo,black,Symstad4,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,11,3,g92,92_Reno
Cheyenne,1,low,lo,black,Chambers08,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,12,3,g36,36_Reno
Cheyenne,1,low,lo,black,Getts3,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,13,3,g49,49_Reno
Cheyenne,1,low,lo,black,Pyle010,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,14,3,g77,77_Reno
Cheyenne,1,low,lo,black,Lee3,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,15,3,g63,63_Reno
Cheyenne,1,low,lo,black,Pyle009,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,16,3,g76,76_Reno
Cheyenne,1,low,lo,black,Chambers04,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,17,3,g32,32_Reno
Cheyenne,1,low,lo,black,Pyle015,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,18,3,g79,79_Reno
Cheyenne,1,low,lo,black,Pyke3,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,19,3,g72,72_Reno
Cheyenne,1,low,lo,black,Chynoweth08,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,20,3,g100,100_Reno
Cheyenne,1,low,lo,black,Lavin01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,1,4,g59,59_Reno
Cheyenne,1,low,lo,black,AAFC09,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,2,4,g6,6_Reno
Cheyenne,1,low,lo,black,Copeland05,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,3,4,g39,39_Reno
Cheyenne,1,low,lo,black,Chynoweth05,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,4,4,g98,98_Reno
Cheyenne,1,low,lo,black,Reed03,2021,Logan,lo black Cheyenne,lo black Cheyenne 1,5,4,g84,84_Logan
Cheyenne,1,low,lo,black,JackieOtt2,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,6,4,g55,55_Reno
Cheyenne,1,low,lo,black,Chambers09,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,7,4,g37,37_Reno
Cheyenne,1,low,lo,black,Chynoweth01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,8,4,g26,26_Reno
Cheyenne,1,low,lo,black,Chambers05,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,9,4,g33,33_Reno
Cheyenne,1,low,lo,black,Porensky1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,10,4,g68,68_Reno
Cheyenne,1,low,lo,black,Symstad2,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,11,4,g90,90_Reno
Cheyenne,1,low,lo,black,Wilcox02,2021,Logan,lo black Cheyenne,lo black Cheyenne 1,12,4,g95,95_Logan
Cheyenne,1,low,lo,black,Chynoweth02,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,13,4,g96,96_Reno
Cheyenne,1,low,lo,black,Maron1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,14,4,g66,66_Reno
Cheyenne,1,low,lo,black,Reed01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,15,4,g83,83_Reno
Cheyenne,1,low,lo,black,Hufft2,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,16,4,g53,53_Reno
Cheyenne,1,low,lo,black,Lavin02,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,17,4,g60,60_Reno
Cheyenne,1,low,lo,black,Downs02,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,18,4,g43,43_Reno
Cheyenne,1,low,lo,black,Blumenthal08,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,19,4,g24,24_Reno
Cheyenne,1,low,lo,black,Pyle001,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,20,4,g75,75_Reno
Cheyenne,1,low,lo,black,Pyle017,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,1,5,g81,81_Reno
Cheyenne,1,low,lo,black,Downs02,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,2,5,g43,43_Reno
Cheyenne,1,low,lo,black,Schupp03,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,3,5,g86,86_Reno
Cheyenne,1,low,lo,black,Holdrege1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,4,5,g51,51_Reno
Cheyenne,1,low,lo,black,Adler17,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,5,5,g17,17_Reno
Cheyenne,1,low,lo,black,AAFC10,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,6,5,g7,7_Reno
Cheyenne,1,low,lo,black,Bradford01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,7,5,g28,28_Reno
Cheyenne,1,low,lo,black,Urza1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,8,5,g31,31_Reno
Cheyenne,1,low,lo,black,Schupp01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,9,5,g13,13_Reno
Cheyenne,1,low,lo,black,JackieOtt5,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,10,5,g56,56_Reno
Cheyenne,1,low,lo,black,Pyle009,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,11,5,g76,76_Reno
Cheyenne,1,low,lo,black,Hufft1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,12,5,g52,52_Reno
Cheyenne,1,low,lo,black,Davies03,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,13,5,g103,103_Reno
Cheyenne,1,low,lo,black,AAFC05,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,14,5,g2,2_Reno
Cheyenne,1,low,lo,black,Downs03,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,15,5,g44,44_Reno
Cheyenne,1,low,lo,black,Downs01,2021,Logan,lo black Cheyenne,lo black Cheyenne 1,16,5,g42,42_Logan
Cheyenne,1,low,lo,black,Lee1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,17,5,g61,61_Reno
Cheyenne,1,low,lo,black,Shriver02,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,18,5,g102,102_Reno
Cheyenne,1,low,lo,black,Lee1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,19,5,g61,61_Reno
Cheyenne,1,low,lo,black,Blumenthal01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,20,5,g8,8_Reno
Cheyenne,1,low,lo,white,Blumenthal01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,1,1,g8,8_Reno
Cheyenne,1,low,lo,white,Pyle001,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,2,1,g75,75_Reno
Cheyenne,1,low,lo,white,Lee1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,3,1,g61,61_Reno
Cheyenne,1,low,lo,white,Reed03,2021,Logan,lo white Cheyenne,lo white Cheyenne 1,4,1,g84,84_Logan
Cheyenne,1,low,lo,white,Downs01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,5,1,g42,42_Reno
Cheyenne,1,low,lo,white,Holdrege1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,6,1,g51,51_Reno
Cheyenne,1,low,lo,white,Symstad6,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,7,1,g25,25_Reno
Cheyenne,1,low,lo,white,Pyle009,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,8,1,g76,76_Reno
Cheyenne,1,low,lo,white,Chambers05,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,9,1,g33,33_Reno
Cheyenne,1,low,lo,white,AAFC04,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,10,1,g1,1_Reno
Cheyenne,1,low,lo,white,Lee2,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,11,1,g62,62_Reno
Cheyenne,1,low,lo,white,Schupp02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,12,1,g12,12_Reno
Cheyenne,1,low,lo,white,Pyle015,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,13,1,g79,79_Reno
Cheyenne,1,low,lo,white,JackieOtt6,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,14,1,g57,57_Reno
Cheyenne,1,low,lo,white,Copeland01,2021,Logan,lo white Cheyenne,lo white Cheyenne 1,15,1,g38,38_Logan
Cheyenne,1,low,lo,white,JackieOtt2,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,16,1,g55,55_Reno
Cheyenne,1,low,lo,white,Chambers07,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,17,1,g35,35_Reno
Cheyenne,1,low,lo,white,Pyle017,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,18,1,g81,81_Reno
Cheyenne,1,low,lo,white,Pyke3,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,19,1,g72,72_Reno
Cheyenne,1,low,lo,white,Hufft1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,20,1,g52,52_Reno
Cheyenne,1,low,lo,white,Symstad2,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,1,2,g90,90_Reno
Cheyenne,1,low,lo,white,Chambers06,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,2,2,g34,34_Reno
Cheyenne,1,low,lo,white,Chynoweth08,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,3,2,g100,100_Reno
Cheyenne,1,low,lo,white,Lavin02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,4,2,g60,60_Reno
Cheyenne,1,low,lo,white,Downs02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,5,2,g43,43_Reno
Cheyenne,1,low,lo,white,Symstad4,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,6,2,g92,92_Reno
Cheyenne,1,low,lo,white,Fleishman_05,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,7,2,g46,46_Reno
Cheyenne,1,low,lo,white,Schupp03,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,8,2,g86,86_Reno
Cheyenne,1,low,lo,white,Schupp05,2021,Logan,lo white Cheyenne,lo white Cheyenne 1,9,2,g88,88_Logan
Cheyenne,1,low,lo,white,Hufft2,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,10,2,g53,53_Reno
Cheyenne,1,low,lo,white,Chynoweth03,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,11,2,g97,97_Reno
Cheyenne,1,low,lo,white,Reed03,2021,Logan,lo white Cheyenne,lo white Cheyenne 1,12,2,g84,84_Logan
Cheyenne,1,low,lo,white,Pyle009,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,13,2,g76,76_Reno
Cheyenne,1,low,lo,white,Germino BOP 01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,14,2,g104,104_Reno
Cheyenne,1,low,lo,white,Wilcox02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,15,2,g95,95_Reno
Cheyenne,1,low,lo,white,Copeland05,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,16,2,g39,39_Reno
Cheyenne,1,low,lo,white,Chynoweth08,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,17,2,g100,100_Reno
Cheyenne,1,low,lo,white,Adler13,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,18,2,g14,14_Reno
Cheyenne,1,low,lo,white,Pyke21,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,19,2,g74,74_Reno
Cheyenne,1,low,lo,white,Getts3,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,20,2,g49,49_Reno
Cheyenne,1,low,lo,white,Blumenthal10,2021,Logan,lo white Cheyenne,lo white Cheyenne 1,1,3,g105,105_Logan
Cheyenne,1,low,lo,white,Schupp04,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,2,3,g87,87_Reno
Cheyenne,1,low,lo,white,JackieOtt7,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,3,3,g58,58_Reno
Cheyenne,1,low,lo,white,Barnett01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,4,3,g19,19_Reno
Cheyenne,1,low,lo,white,Shriver02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,5,3,g102,102_Reno
Cheyenne,1,low,lo,white,Schupp01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,6,3,g13,13_Reno
Cheyenne,1,low,lo,white,Pyke21,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,7,3,g74,74_Reno
Cheyenne,1,low,lo,white,Chambers04,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,8,3,g32,32_Reno
Cheyenne,1,low,lo,white,Downs02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,9,3,g43,43_Reno
Cheyenne,1,low,lo,white,Lee3,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,10,3,g63,63_Reno
Cheyenne,1,low,lo,white,Bradford01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,11,3,g28,28_Reno
Cheyenne,1,low,lo,white,Symstad4,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,12,3,g92,92_Reno
Cheyenne,1,low,lo,white,JackieOtt1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,13,3,g54,54_Reno
Cheyenne,1,low,lo,white,Adler05,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,14,3,g9,9_Reno
Cheyenne,1,low,lo,white,Pyle010,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,15,3,g77,77_Reno
Cheyenne,1,low,lo,white,JackieOtt5,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,16,3,g56,56_Reno
Cheyenne,1,low,lo,white,Downs03,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,17,3,g44,44_Reno
Cheyenne,1,low,lo,white,Porensky30,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,18,3,g71,71_Reno
Cheyenne,1,low,lo,white,Reed01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,19,3,g83,83_Reno
Cheyenne,1,low,lo,white,Lee4,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,20,3,g64,64_Reno
Cheyenne,1,low,lo,white,Pyle019,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,1,4,g82,82_Reno
Cheyenne,1,low,lo,white,Chambers02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,2,4,g30,30_Reno
Cheyenne,1,low,lo,white,Chambers01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,3,4,g29,29_Reno
Cheyenne,1,low,lo,white,Hufft1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,4,4,g52,52_Reno
Cheyenne,1,low,lo,white,Symstad3,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,5,4,g91,91_Reno
Cheyenne,1,low,lo,white,Blumenthal08,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,6,4,g24,24_Reno
Cheyenne,1,low,lo,white,Symstad1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,7,4,g89,89_Reno
Cheyenne,1,low,lo,white,Chynoweth01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,8,4,g26,26_Reno
Cheyenne,1,low,lo,white,AAFC05,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,9,4,g2,2_Reno
Cheyenne,1,low,lo,white,Adler18,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,10,4,g18,18_Reno
Cheyenne,1,low,lo,white,Porensky17,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,11,4,g69,69_Reno
Cheyenne,1,low,lo,white,Chynoweth05,2021,Logan,lo white Cheyenne,lo white Cheyenne 1,12,4,g98,98_Logan
Cheyenne,1,low,lo,white,Pyke8,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,13,4,g73,73_Reno
Cheyenne,1,low,lo,white,Pyle015,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,14,4,g79,79_Reno
Cheyenne,1,low,lo,white,Lavin01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,15,4,g59,59_Reno
Cheyenne,1,low,lo,white,Lee1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,16,4,g61,61_Reno
Cheyenne,1,low,lo,white,Adler09,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,17,4,g11,11_Reno
Cheyenne,1,low,lo,white,Urza1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,18,4,g31,31_Reno
Cheyenne,1,low,lo,white,Porensky1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,19,4,g68,68_Reno
Cheyenne,1,low,lo,white,Adler09,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,20,4,g11,11_Reno
Cheyenne,1,low,lo,white,Pyle009,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,1,5,g76,76_Reno
Cheyenne,1,low,lo,white,Chambers09,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,2,5,g37,37_Reno
Cheyenne,1,low,lo,white,Davies03,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,3,5,g103,103_Reno
Cheyenne,1,low,lo,white,Shriver02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,4,5,g102,102_Reno
Cheyenne,1,low,lo,white,Pyle017,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,5,5,g81,81_Reno
Cheyenne,1,low,lo,white,AAFC09,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,6,5,g6,6_Reno
Cheyenne,1,low,lo,white,Fleishman_01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,7,5,g45,45_Reno
Cheyenne,1,low,lo,white,Adler17,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,8,5,g17,17_Reno
Cheyenne,1,low,lo,white,Urza2,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,9,5,g93,93_Reno
Cheyenne,1,low,lo,white,Maron1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,10,5,g66,66_Reno
Cheyenne,1,low,lo,white,AAFC08,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,11,5,g5,5_Reno
Cheyenne,1,low,lo,white,Leger 1,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,12,5,g65,65_Reno
Cheyenne,1,low,lo,white,AAFC10,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,13,5,g7,7_Reno
Cheyenne,1,low,lo,white,Chambers08,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,14,5,g36,36_Reno
Cheyenne,1,low,lo,white,Fleishman_07,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,15,5,g47,47_Reno
Cheyenne,1,low,lo,white,Shriver01,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,16,5,g101,101_Reno
Cheyenne,1,low,lo,white,Symstad6,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,17,5,g25,25_Reno
Cheyenne,1,low,lo,white,Schupp05,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,18,5,g88,88_Reno
Cheyenne,1,low,lo,white,Chambers07,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,19,5,g35,35_Reno
Cheyenne,1,low,lo,white,Chynoweth02,2020,Reno,lo white Cheyenne,lo white Cheyenne 1,20,5,g96,96_Reno
Cheyenne,2,high,hi,black,Schupp02,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,1,1,g12,12_Reno
Cheyenne,2,high,hi,black,Pyle019,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,2,1,g82,82_Reno
Cheyenne,2,high,hi,black,Schupp01,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,3,1,g13,13_Reno
Cheyenne,2,high,hi,black,Chynoweth05,2021,Logan,hi black Cheyenne,hi black Cheyenne 2,4,1,g98,98_Logan
Cheyenne,2,high,hi,black,Adler05,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,5,1,g9,9_Reno
Cheyenne,2,high,hi,black,Blumenthal10,2021,Logan,hi black Cheyenne,hi black Cheyenne 2,6,1,g105,105_Logan
Cheyenne,2,high,hi,black,Blumenthal01,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,7,1,g8,8_Reno
Cheyenne,2,high,hi,black,Bradford01,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,8,1,g28,28_Reno
Cheyenne,2,high,hi,black,Wilcox02,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,9,1,g95,95_Reno
Cheyenne,2,high,hi,black,Lee2,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,10,1,g62,62_Reno
Cheyenne,2,high,hi,black,Copeland05,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,1,2,g39,39_Reno
Cheyenne,2,high,hi,black,AAFC05,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,2,2,g2,2_Reno
Cheyenne,2,high,hi,black,Hufft2,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,3,2,g53,53_Reno
Cheyenne,2,high,hi,black,Chynoweth02,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,4,2,g96,96_Reno
Cheyenne,2,high,hi,black,Schupp03,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,5,2,g86,86_Reno
Cheyenne,2,high,hi,black,Chambers05,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,6,2,g33,33_Reno
Cheyenne,2,high,hi,black,Porensky1,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,7,2,g68,68_Reno
Cheyenne,2,high,hi,black,Adler09,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,8,2,g11,11_Reno
Cheyenne,2,high,hi,black,Downs03,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,9,2,g44,44_Reno
Cheyenne,2,high,hi,black,Chambers02,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,10,2,g30,30_Reno
Cheyenne,2,high,hi,black,Fleishman_01,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,1,3,g45,45_Reno
Cheyenne,2,high,hi,black,JackieOtt1,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,2,3,g54,54_Reno
Cheyenne,2,high,hi,black,Downs02,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,3,3,g43,43_Reno
Cheyenne,2,high,hi,black,Symstad2,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,4,3,g90,90_Reno
Cheyenne,2,high,hi,black,Maron1,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,5,3,g66,66_Reno
Cheyenne,2,high,hi,black,Chambers06,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,6,3,g34,34_Reno
Cheyenne,2,high,hi,black,Pyle017,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,7,3,g81,81_Reno
Cheyenne,2,high,hi,black,AAFC04,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,8,3,g1,1_Reno
Cheyenne,2,high,hi,black,AAFC10,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,9,3,g7,7_Reno
Cheyenne,2,high,hi,black,Symstad6,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,10,3,g25,25_Reno
Cheyenne,2,high,hi,black,Fleishman_05,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,1,4,g46,46_Reno
Cheyenne,2,high,hi,black,Adler18,2020,Reno,hi black Cheyenne,hi black Cheyenne 2,2,4,g18,18_Reno
